Tag	Cage	Ear	Sex	Color	Name	Genotype	DOB	DOD	Father	Mother	Lineage	GenotypingLibrary	Plate	Notes
2463	HOP0017	++/t	M	Agouti		15	2019-07-07	03/17/20	2121	1997	1685ins21#2		Plate T841500-A09	
2620	HOP0019	+/+t	M	Agouti		4E,8I,4S,NAina	2019-07-30	03/17/20	1978	2129	1685ins21#2		Plate T885764-A07	
2616	HOP0020	++/t	M	Agouti		4E,7I,3S,NAina	2019-07-30	11/23/19	2123	2115	1685ins21#2		Plate T885764-A02	
2632	HOP0019	++/t	F	Agouti		4E,8I,4S,NAina	2019-08-01	03/17/20	2121	1997	1685ins21#2		Plate T885764-B07	
2633	HOP0017	+/+t	F	Agouti		2E,8I,4S,NAina	2019-08-01	03/17/20	2121	1997	1685ins21#2		Plate T885764-B08	
2622	HOP0017	-/++t	F	Agouti		4E,6I,2S,NAina	2019-07-30	03/17/20	1978	2129	1685ins21#2		Plate T885764-A09	
2623	HOP0019	++/t	F	Agouti		4E,7I,2S,NAina	2019-07-30	03/17/20	1978	2129	1685ins21#2		Plate T885764-A10	190917: breeding with t2401; 191016: separated for shipment to Hopkins and on watch until 10/30
2625	HOP0017	t/++	F	Agouti		4E,8I,3S,NAina	2019-07-30	03/17/20	1978	2129	1685ins21#2		Plate T885764-A12	
2626	HOP0019	t++/-	F	Agouti		4E,6I,3S,NAina	2019-07-30	03/17/20	1978	2129	1685ins21#2		Plate T885764-B01	
														
2324	HOP0027-A	-/++t	F	Agouti		3E,10I,5S,9ina	2019-05-17	03/17/20	1713	1755	1763PB#3	KL11		
2325	HOP0014	++/t	F	Agouti		4E,12I,4S,10ina	2019-05-17	dispensible	1713	1755	1763PB#3	KL11		
2327	HOP0002	t/++	F	Black		4E,11I,3S,11ina	2019-05-17	03/17/20	1713	1755	1763PB#3	KL11		
2639	HOP0011-B	-/++t	F	Agouti		3E,10I,6S,15ina	2019-08-05	breeding, euth post	2154	2142	1763PB#3		T885773-A06	
2703	HOP0004	-/++t	F	Agouti		3E,12I,5S,11ina	2019-08-19	dispensible	2168	2251	1763PB#3		T885760-D05	
2610	HOP0011-A	-/++t	F	Agouti		4E,10I,5S,11ina	2019-07-31	breeding, euth post	2147	t2150	1763PB#3		T885772-H08	
2611	HOP0005	++/t	F	Agouti		2E,12I,5S,6ina	2019-07-31	03/17/20	2147	t2150	1763PB#3		T885772-H09	
2612	HOP0005	+/+t	F	Agouti		4E,11I,4S,12ina	2019-07-31	03/17/20	2147	t2150	1763PB#3		T885772-H10	
2613	HOP0011-B	t/++	F	Black		3E,10I,5S,8ina	2019-07-31	breeding, euth post	2147	t2150	1763PB#3		T885772-H11	
2614	HOP0005	t++/-	F	Black		4E,13I,4S,9ina	2019-07-31	breeding - xCas9 M, experimental	2147	t2150	1763PB#3		T885772-H12	
2641	HOP0012	+/+t	F	Black		4E,11I,5S,11ina	2019-08-05	03/17/20	2154	2142	1763PB#3		T885773-A08	
2642	HOP0014	t/++	F	Black		4E,13I,5S,10ina	2019-08-05	dispensible	2154	2142	1763PB#3		T885773-A09	
2644	HOP0012	-/++t	F	Agouti		4E,13I,5S,12ina	2019-08-03	breeding - xCas9 M, experimental	2168	2207	1763PB#3		T885773-A12	
2645	HOP0011-A	++/t	F	Agouti		4E,12I,5S,10ina	2019-08-03	breeding, euth post	2168	2207	1763PB#3		T885773-B01	
2646	HOP0027-A	+/+t	F	Black		4E,11I,5S,11ina	2019-08-03	03/17/20	2168	2207	1763PB#3		T885773-B02	
2693	HOP0011-A	++/t	M	Agouti		4E,12I,4S,10ina		03/17/20	2168	2251	1763PB#3		Plate T885760-C06	
